Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
other metals 242,17581422154264.307,21787845070963.055,23592782105334.152,22352959019783.28,22678441218352.047,23260630924688.375,23493338859526.41,23726097070651.953,23958756121025.105,24191181395439.043,24423251307363.867,25294744359840.695,26178929142809.9,27075777918438.22,27985264629447.145,28907364773736.98,29944814335845.53,30999000918071.297,32069893253159.266,33157461437718.88,34261676858662.29,34979131238267.543,35698091003314.44,36418508968293.086,37140339899309.31,37863540414217.54,38551535678542.586,39239872265226.02,39928538071318.18,40617521559396.36,41306811724915.086
metal products except machinery and vehicles 25,17581422154264.307,21787845070963.055,23592782105334.152,22352959019783.28,22678441218352.047,23260630924688.375,23493338859526.41,23726097070651.953,23958756121025.105,24191181395439.043,24423251307363.867,25294744359840.695,26178929142809.9,27075777918438.22,27985264629447.145,28907364773736.98,29944814335845.53,30999000918071.297,32069893253159.266,33157461437718.88,34261676858662.29,34979131238267.543,35698091003314.44,36418508968293.086,37140339899309.31,37863540414217.54,38551535678542.586,39239872265226.02,39928538071318.18,40617521559396.36,41306811724915.086
computers and electronics 26,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
appliances and electrical equipment 27,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
other machinery 28,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
road vehicles 29,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
nonroad vehicles 30,13841772803431.48,17537769880618.371,17792232613192.31,16732360277230.367,16855456976007.697,17170381433711.299,17245501051249.252,17323163296303.201,17403092594926.38,17485040705826.932,17568783413643.31,18105254488575.227,18648328183082.582,19198004766286.02,19754284491000.965,20317167594954.004,20947395259116.27,21586184442269.203,22233526886852.66,22889414695497.75,23553840311599.523,23927666775113.65,24301758229009.73,24676106367304.47,25050703227554.137,25425541173275.08,25713648910443.703,26001670834347.625,26289609987839.43,26577469271590.188,26865251452298.234
other manufacturing 31T33,12450188124605.373,14901882120513.049,15149267626923.303,14061083092178.44,13983878285505.316,14067380020134.213,14448435299417.572,14823291620837.13,15192269497171.102,15555657651308.79,15913716862214.594,15972911396459.162,16026161624895.424,16073563215075.406,16115206038332.193,16151174602200.219,15470871794014.63,14759142109951.166,14016142791695.621,13242024222117.627,12436930295209.89,12132372480752.908,11824717967957.867,11514063821195.027,11200503090205.066,10884125015533.646,10342205118708.016,9799043299769.664,9254683596035.305,8709167987117.373,8162536513722.6455
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,12450188124605.373,14901882120513.049,15149267626923.303,14061083092178.44,13983878285505.316,14067380020134.213,14448435299417.572,14823291620837.13,15192269497171.102,15555657651308.79,15913716862214.594,15972911396459.162,16026161624895.424,16073563215075.406,16115206038332.193,16151174602200.219,15470871794014.63,14759142109951.166,14016142791695.621,13242024222117.627,12436930295209.89,12132372480752.908,11824717967957.867,11514063821195.027,11200503090205.066,10884125015533.646,10342205118708.016,9799043299769.664,9254683596035.305,8709167987117.373,8162536513722.6455
