Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
iron and steel 241,37375203624882.83,40077546093564.516,40717625090413.914,42075377960900.42,44057609070167.484,46181832877780.09,48390884833945.836,50697240645064.336,53105222802908.52,55619340082413.64,58244295807347.07,61124399408729.63,64134322918140.484,67279877245271.27,70567127714326.69,74002405281285.89,77688446618390.3,81543334269359.02,85574665205629.34,89790372464675.02,94198739961531.75,98928343865389.73,103876565604561.56,109053288327019.58,114468834575152.84,120133985696353.98,126110396845080.23,132364421190525.84,138908643869220.14,145756211865870.8,152920858887467.06
other metals 242,37375203624882.83,40077546093564.516,40717625090413.914,42075377960900.42,44057609070167.484,46181832877780.09,48390884833945.836,50697240645064.336,53105222802908.52,55619340082413.64,58244295807347.07,61124399408729.63,64134322918140.484,67279877245271.27,70567127714326.69,74002405281285.89,77688446618390.3,81543334269359.02,85574665205629.34,89790372464675.02,94198739961531.75,98928343865389.73,103876565604561.56,109053288327019.58,114468834575152.84,120133985696353.98,126110396845080.23,132364421190525.84,138908643869220.14,145756211865870.8,152920858887467.06
metal products except machinery and vehicles 25,37375203624882.83,40077546093564.516,40717625090413.914,42075377960900.42,44057609070167.484,46181832877780.09,48390884833945.836,50697240645064.336,53105222802908.52,55619340082413.64,58244295807347.07,61124399408729.63,64134322918140.484,67279877245271.27,70567127714326.69,74002405281285.89,77688446618390.3,81543334269359.02,85574665205629.34,89790372464675.02,94198739961531.75,98928343865389.73,103876565604561.56,109053288327019.58,114468834575152.84,120133985696353.98,126110396845080.23,132364421190525.84,138908643869220.14,145756211865870.8,152920858887467.06
computers and electronics 26,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
appliances and electrical equipment 27,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
other machinery 28,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
road vehicles 29,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
nonroad vehicles 30,32356899303276.99,33453203900788.68,37344364434102.086,38331628394458.1,39878900220884.664,41541964746704.555,43289933067785.91,45112685209029.4,47013413806243.734,48995448751592.41,51062263053043.66,53273935222344.625,55580978976761.79,57987505728580.65,60497803912263.27,63116346609723.23,65879068478513.05,68761602193067.37,71769132966608.89,74907069924328.44,78181055768219.78,81531475418171.62,85025726901667.34,88669987960366.39,92470701791244.97,96434588454980.5,100532846769629.06,104806118917397.88,109261893053124.1,113907978151143.78,118752517760880.27
other manufacturing 31T33,40154438822408.32,39430335761471.38,41686069633500.59,42015509747044.04,42931928687215.8,43934371814111.05,44898727321495.984,45895049786524.3,46924143655594.805,47986846454219.9,49084029157149.24,50289915325781.69,51533320494984.766,52815309927035.89,54136983889400.72,55499478497550.42,56998615639374.26,58544045631902.2,60137168951569.13,61779429881050.766,63472317763643.22,65263316059714.805,67110308179961.22,69015037585446.56,70979302912576.3,73004959637725.86,75178198361858.44,77420350372421.83,79733609680900.77,82120240125190.28,84582577526920.47
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,40154438822408.32,39430335761471.38,41686069633500.59,42015509747044.04,42931928687215.8,43934371814111.05,44898727321495.984,45895049786524.3,46924143655594.805,47986846454219.9,49084029157149.24,50289915325781.69,51533320494984.766,52815309927035.89,54136983889400.72,55499478497550.42,56998615639374.26,58544045631902.2,60137168951569.13,61779429881050.766,63472317763643.22,65263316059714.805,67110308179961.22,69015037585446.56,70979302912576.3,73004959637725.86,75178198361858.44,77420350372421.83,79733609680900.77,82120240125190.28,84582577526920.47
