Annual Distance (miles/vehicle),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDVs,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413,9355.1447243413
HDVs,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799,51024.9519454799
aircraft,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652,636749.601161652
rail,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724,7048.9819576724
ships,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333,44727.2846159333
motorbikes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
