Unit: 2012 $,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Total EE Compensation,8.16E+11,8.18E+11,8.20E+11,8.21E+11,8.23E+11,8.25E+11,8.27E+11,8.28E+11,8.30E+11,8.32E+11,8.34E+11,8.35E+11,8.37E+11,8.39E+11,8.41E+11,8.42E+11,8.44E+11,8.46E+11,8.48E+11,8.50E+11,8.51E+11,8.53E+11,8.55E+11,8.57E+11,8.59E+11,8.61E+11,8.62E+11,8.64E+11,8.66E+11,8.68E+11,8.70E+11,8.72E+11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
