Cargo Dist Transported Relative to Start Year (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDVs,1.00,1.05,1.09,1.13,1.18,1.22,1.27,1.31,1.34,1.38,1.41,1.44,1.47,1.50,1.52,1.55,1.57,1.59,1.61,1.62,1.64,1.65,1.66,1.67,1.68,1.69,1.69,1.70,1.70,1.71,1.71,1.73
HDVs,1.00,1.03,1.07,1.10,1.13,1.16,1.19,1.22,1.25,1.28,1.31,1.34,1.37,1.40,1.43,1.46,1.49,1.52,1.55,1.58,1.61,1.64,1.67,1.70,1.73,1.76,1.79,1.82,1.85,1.87,1.90,1.94
aircraft,1.00,1.06,1.11,1.17,1.24,1.31,1.38,1.45,1.53,1.60,1.69,1.77,1.84,1.90,1.97,2.04,2.11,2.18,2.25,2.33,2.40,2.48,2.56,2.63,2.71,2.79,2.88,2.95,3.03,3.12,3.20,3.29
rail,1.00,1.01,1.08,1.14,1.21,1.28,1.35,1.41,1.48,1.55,1.62,1.68,1.77,1.85,1.94,2.02,2.10,2.19,2.27,2.36,2.44,2.52,2.57,2.63,2.68,2.73,2.78,2.83,2.88,2.93,2.98,3.03
ships,1.00,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.08,1.09,1.10,1.10,1.11,1.11,1.11,1.11,1.12,1.12,1.12,1.12,1.13,1.13,1.13,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
motorbikes,1.00,1.05,1.10,1.16,1.22,1.29,1.36,1.42,1.48,1.54,1.59,1.63,1.68,1.72,1.76,1.80,1.83,1.86,1.89,1.91,1.94,1.95,1.97,1.99,2.00,2.01,2.02,2.03,2.04,2.05,2.05,2.06
