Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Transportation Sector,2.471E-05,2.899E-05,3.910E-05,3.687E-05,2.785E-05,2.104E-05,1.590E-05,1.201E-05,9.074E-06,6.855E-06,5.179E-06,3.913E-06,2.956E-06,2.233E-06,1.687E-06,1.275E-06,9.629E-07,7.275E-07,5.496E-07,4.152E-07,3.137E-07,2.370E-07,1.790E-07,1.353E-07,1.022E-07,7.720E-08,5.833E-08,4.406E-08,3.329E-08,2.515E-08,1.900E-08,,
Electricity Sector,3.426E-05,5.205E-05,2.733E-05,2.733E-05,2.065E-05,1.560E-05,1.178E-05,8.903E-06,6.726E-06,5.082E-06,3.839E-06,2.900E-06,2.191E-06,1.655E-06,1.251E-06,9.448E-07,7.138E-07,5.393E-07,4.074E-07,3.078E-07,2.325E-07,1.757E-07,1.327E-07,1.003E-07,7.575E-08,5.723E-08,4.323E-08,3.266E-08,2.468E-08,1.864E-08,1.408E-08,,
Residential Buildings Sector,2.790E-05,3.493E-05,5.169E-05,5.108E-05,3.859E-05,2.915E-05,2.202E-05,1.664E-05,1.257E-05,9.497E-06,7.175E-06,5.420E-06,4.095E-06,3.094E-06,2.337E-06,1.766E-06,1.334E-06,1.008E-06,7.614E-07,5.752E-07,4.346E-07,3.283E-07,2.480E-07,1.874E-07,1.416E-07,1.070E-07,8.080E-08,6.104E-08,4.612E-08,3.484E-08,2.632E-08,,
Commercial Buildings Sector,2.790E-05,3.493E-05,5.169E-05,5.108E-05,3.859E-05,2.915E-05,2.202E-05,1.664E-05,1.257E-05,9.497E-06,7.175E-06,5.420E-06,4.095E-06,3.094E-06,2.337E-06,1.766E-06,1.334E-06,1.008E-06,7.614E-07,5.752E-07,4.346E-07,3.283E-07,2.480E-07,1.874E-07,1.416E-07,1.070E-07,8.080E-08,6.104E-08,4.612E-08,3.484E-08,2.632E-08,,
Industry Sector,1.192E-05,1.492E-05,2.208E-05,2.182E-05,1.648E-05,1.245E-05,9.407E-06,7.107E-06,5.369E-06,4.056E-06,3.065E-06,2.315E-06,1.749E-06,1.321E-06,9.983E-07,7.542E-07,5.698E-07,4.305E-07,3.252E-07,2.457E-07,1.856E-07,1.402E-07,1.059E-07,8.004E-08,6.047E-08,4.568E-08,3.451E-08,2.607E-08,1.970E-08,1.488E-08,1.124E-08,,
District Heating Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LULUCF Sector,2.790E-05,3.493E-05,5.169E-05,5.108E-05,3.859E-05,2.915E-05,2.202E-05,1.664E-05,1.257E-05,9.497E-06,7.175E-06,5.420E-06,4.095E-06,3.094E-06,2.337E-06,1.766E-06,1.334E-06,1.008E-06,7.614E-07,5.752E-07,4.346E-07,3.283E-07,2.480E-07,1.874E-07,1.416E-07,1.070E-07,8.080E-08,6.104E-08,4.612E-08,3.484E-08,2.632E-08,,
Geoengineering Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
