Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Transportation Sector,2.453E-05,2.791E-05,3.013E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,3.165E-05,,
Electricity Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Residential Buildings Sector,3.075E-05,3.420E-05,3.712E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,3.870E-05,,
Commercial Buildings Sector,3.100E-05,3.495E-05,3.901E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,4.054E-05,,
Industry Sector,2.736E-05,3.121E-05,3.435E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,3.589E-05,,
District Heating Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LULUCF Sector,2.36643E-05,2.74417E-05,3.14706E-05,3.39459E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,3.395E-05,,
Geoengineering Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
